Id,SalePrice
1461,120985.37
1462,170476.1
1463,160818.86
1464,194361.16
1465,184035.23
1466,177866.03
1467,185203.83
1468,169108.44
1469,180547.3
1470,119669.93
1471,206707.73
1472,89516.66
1473,97468.61
1474,155945.94
1475,142088.67
1476,337270.4
1477,256636.06
1478,318255.3
1479,235836.77
1480,445445.97
1481,346684.94
1482,204666.22
1483,167017.94
1484,168955.08
1485,177079.12
1486,193409.17
1487,371685.97
1488,233000.55
1489,202995.5
1490,236436.3
1491,177258.36
1492,93160.8
1493,208619.92
1494,288829.25
1495,289187.25
1496,224685.9
1497,192620.89
1498,150440.27
1499,150383.05
1500,146808.75
1501,182264.53
1502,149181.77
1503,298835.84
1504,242989.66
1505,204869.17
1506,193596.8
1507,242402.17
1508,206456.38
1509,175599.92
1510,150247.78
1511,154465.67
1512,171995.25
1513,162974.48
1514,169580.44
1515,201439.52
1516,147157.62
1517,162859.4
1518,137760.6
1519,237649.48
1520,136135.92
1521,140758.08
1522,185263.22
1523,108926.1
1524,122491.8
1525,125162.02
1526,109066.125
1527,110872.164
1528,135410.02
1529,141758.55
1530,152023.89
1531,101212.016
1532,95756.24
1533,164708.42
1534,118457.61
1535,161177.4
1536,118810.58
1537,68949.07
1538,158284.64
1539,210345.84
1540,66936.44
1541,138191.84
1542,120906.484
1543,215337.16
1544,84052.45
1545,111028.016
1546,129061.234
1547,137040.36
1548,142678.73
1549,128593.9
1550,126861.74
1551,115179.914
1552,135738.73
1553,179688.62
1554,116490.91
1555,182735.72
1556,77947.586
1557,106532.02
1558,105906.54
1559,77167.73
1560,134946.2
1561,157095.12
1562,129920.54
1563,123569.445
1564,154292.0
1565,152075.9
1566,220344.7
1567,98824.05
1568,223870.72
1569,115707.27
1570,141270.78
1571,120617.03
1572,152832.44
1573,285454.28
1574,123758.375
1575,238918.2
1576,261231.64
1577,203121.36
1578,144085.38
1579,165843.0
1580,187754.3
1581,168304.45
1582,126796.93
1583,343092.97
1584,236049.81
1585,140841.6
1586,75256.445
1587,95806.83
1588,158602.36
1589,103339.625
1590,134055.66
1591,96599.39
1592,116714.234
1593,138050.6
1594,132368.47
1595,113579.13
1596,221816.84
1597,174094.27
1598,193262.17
1599,186775.06
1600,181149.03
1601,76082.195
1602,143397.06
1603,107011.734
1604,276310.22
1605,248464.75
1606,169304.23
1607,143824.02
1608,222888.2
1609,193135.94
1610,169241.42
1611,148400.34
1612,175300.7
1613,170811.11
1614,125855.125
1615,86782.24
1616,72746.34
1617,84356.125
1618,126239.61
1619,163008.44
1620,165372.48
1621,137233.66
1622,138485.25
1623,306548.56
1624,221024.42
1625,127762.72
1626,163718.88
1627,190734.72
1628,261287.77
1629,186931.16
1630,431363.16
1631,222650.89
1632,243186.97
1633,157938.27
